,hall,floor,row,col
575,OH,1F,15,40
576,OH,1F,15,41
577,OH,1F,16,01
578,OH,1F,16,02
579,OH,1F,16,03
580,OH,1F,16,04
581,OH,1F,16,05
582,OH,1F,16,06
583,OH,1F,16,07
584,OH,1F,16,08
585,OH,1F,16,09
586,OH,1F,16,10
587,OH,1F,16,11
588,OH,1F,16,12
589,OH,1F,16,13
590,OH,1F,16,14
591,OH,1F,16,15
592,OH,1F,16,16
593,OH,1F,16,17
594,OH,1F,16,18
595,OH,1F,16,19
596,OH,1F,16,20
597,OH,1F,16,21
598,OH,1F,16,22
599,OH,1F,16,23
600,OH,1F,16,24
601,OH,1F,16,25
602,OH,1F,16,26
603,OH,1F,16,27
604,OH,1F,16,28
605,OH,1F,16,29
606,OH,1F,16,30
607,OH,1F,16,31
608,OH,1F,16,32
609,OH,1F,16,33
610,OH,1F,16,34
611,OH,1F,16,35
612,OH,1F,16,36
613,OH,1F,16,37
614,OH,1F,16,38
615,OH,1F,16,39
616,OH,1F,16,40
617,OH,1F,16,41
618,OH,1F,16,42
619,OH,1F,17,01
620,OH,1F,17,02
621,OH,1F,17,03
622,OH,1F,17,04
623,OH,1F,17,05
624,OH,1F,17,06
625,OH,1F,17,07
626,OH,1F,17,08
627,OH,1F,17,09
628,OH,1F,17,10
629,OH,1F,17,11
630,OH,1F,17,12
631,OH,1F,17,13
632,OH,1F,17,14
633,OH,1F,17,15
634,OH,1F,17,16
635,OH,1F,17,17
636,OH,1F,17,18
637,OH,1F,17,19
638,OH,1F,17,20
639,OH,1F,17,21
640,OH,1F,17,22
641,OH,1F,17,23
642,OH,1F,17,24
643,OH,1F,17,25
644,OH,1F,17,26
645,OH,1F,17,27
646,OH,1F,17,28
647,OH,1F,17,29
648,OH,1F,17,30
649,OH,1F,17,31
650,OH,1F,17,32
651,OH,1F,17,33
652,OH,1F,17,34
653,OH,1F,17,35
654,OH,1F,17,36
655,OH,1F,17,37
656,OH,1F,17,38
657,OH,1F,17,39
658,OH,1F,17,40
659,OH,1F,17,41
660,OH,1F,17,42
661,OH,1F,18,01
662,OH,1F,18,02
663,OH,1F,18,03
664,OH,1F,18,04
665,OH,1F,18,05
666,OH,1F,18,06
667,OH,1F,18,07
668,OH,1F,18,08
669,OH,1F,18,09
670,OH,1F,18,10
671,OH,1F,18,11
672,OH,1F,18,12
673,OH,1F,18,13
674,OH,1F,18,14
675,OH,1F,18,15
676,OH,1F,18,16
677,OH,1F,18,17
678,OH,1F,18,18
679,OH,1F,18,19
680,OH,1F,18,20
681,OH,1F,18,21
682,OH,1F,18,22
683,OH,1F,18,23
684,OH,1F,18,24
685,OH,1F,18,25
686,OH,1F,18,26
687,OH,1F,18,27
688,OH,1F,18,28
689,OH,1F,18,29
690,OH,1F,18,30
691,OH,1F,18,31
692,OH,1F,18,32
693,OH,1F,18,33
694,OH,1F,18,34
695,OH,1F,18,35
696,OH,1F,18,36
697,OH,1F,18,37
698,OH,1F,18,38
699,OH,1F,18,39
700,OH,1F,18,40
701,OH,1F,18,41
702,OH,1F,18,42
703,OH,1F,19,01
704,OH,1F,19,02
705,OH,1F,19,03
706,OH,1F,19,04
707,OH,1F,19,05
708,OH,1F,19,06
709,OH,1F,19,07
710,OH,1F,19,08
711,OH,1F,19,09
712,OH,1F,19,10
713,OH,1F,19,11
714,OH,1F,19,12
715,OH,1F,19,13
716,OH,1F,19,14
717,OH,1F,19,15
718,OH,1F,19,16
719,OH,1F,19,17
720,OH,1F,19,18
721,OH,1F,19,19
722,OH,1F,19,20
723,OH,1F,19,21
724,OH,1F,19,22
725,OH,1F,19,23
726,OH,1F,19,24
727,OH,1F,19,25
728,OH,1F,19,26
729,OH,1F,19,27
730,OH,1F,19,28
731,OH,1F,19,29
732,OH,1F,19,30
733,OH,1F,19,31
734,OH,1F,19,32
735,OH,1F,19,33
736,OH,1F,19,34
737,OH,1F,19,35
738,OH,1F,19,36
739,OH,1F,19,37
740,OH,1F,19,38
741,OH,1F,19,39
742,OH,1F,19,40
743,OH,1F,19,41
744,OH,1F,19,42
745,OH,1F,20,01
746,OH,1F,20,02
747,OH,1F,20,03
748,OH,1F,20,04
749,OH,1F,20,05
750,OH,1F,20,06
751,OH,1F,20,07
752,OH,1F,20,08
753,OH,1F,20,09
754,OH,1F,20,10
755,OH,1F,20,11
756,OH,1F,20,12
757,OH,1F,20,13
758,OH,1F,20,14
759,OH,1F,20,15
760,OH,1F,20,16
761,OH,1F,20,17
762,OH,1F,20,18
763,OH,1F,20,19
764,OH,1F,20,20
765,OH,1F,20,21
766,OH,1F,20,22
767,OH,1F,20,23
768,OH,1F,20,24
769,OH,1F,20,25
770,OH,1F,20,26
771,OH,1F,20,27
772,OH,1F,20,28
773,OH,1F,20,29
774,OH,1F,20,30
775,OH,1F,20,31
776,OH,1F,20,32
777,OH,1F,20,33
778,OH,1F,20,34
779,OH,1F,20,35
780,OH,1F,20,36
781,OH,1F,20,37
782,OH,1F,20,38
783,OH,1F,20,39
784,OH,1F,20,40
785,OH,1F,20,41
786,OH,1F,20,42
787,OH,1F,21,01
788,OH,1F,21,02
789,OH,1F,21,03
790,OH,1F,21,04
791,OH,1F,21,05
792,OH,1F,21,06
793,OH,1F,21,07
794,OH,1F,21,08
795,OH,1F,21,09
796,OH,1F,21,10
797,OH,1F,21,11
798,OH,1F,21,12
799,OH,1F,21,13
800,OH,1F,21,14
801,OH,1F,21,15
802,OH,1F,21,16
803,OH,1F,21,17
804,OH,1F,21,18
805,OH,1F,21,19
806,OH,1F,21,20
807,OH,1F,21,21
808,OH,1F,21,22
809,OH,1F,21,23
810,OH,1F,21,24
811,OH,1F,21,25
812,OH,1F,21,26
813,OH,1F,21,27
814,OH,1F,21,28
815,OH,1F,21,29
816,OH,1F,21,30
817,OH,1F,21,31
818,OH,1F,21,32
819,OH,1F,21,33
820,OH,1F,21,34
821,OH,1F,21,35
822,OH,1F,21,36
823,OH,1F,21,37
824,OH,1F,21,38
825,OH,1F,21,39
826,OH,1F,21,40
827,OH,1F,21,41
828,OH,1F,21,42
829,OH,1F,22,03
830,OH,1F,22,04
831,OH,1F,22,05
832,OH,1F,22,06
833,OH,1F,22,07
834,OH,1F,22,08
835,OH,1F,22,09
836,OH,1F,22,10
837,OH,1F,22,11
838,OH,1F,22,12
839,OH,1F,22,13
840,OH,1F,22,14
841,OH,1F,22,15
842,OH,1F,22,16
843,OH,1F,22,17
844,OH,1F,22,18
845,OH,1F,22,19
846,OH,1F,22,20
847,OH,1F,22,21
848,OH,1F,22,22
849,OH,1F,22,23
850,OH,1F,22,24
851,OH,1F,22,25
852,OH,1F,22,26
853,OH,1F,22,27
854,OH,1F,22,28
855,OH,1F,22,29
856,OH,1F,22,30
857,OH,1F,22,31
858,OH,1F,22,32
859,OH,1F,22,33
860,OH,1F,22,34
861,OH,1F,22,35
862,OH,1F,22,36
863,OH,1F,22,37
864,OH,1F,22,38
865,OH,1F,22,39
866,OH,1F,22,40
867,OH,2F,L1,01
868,OH,2F,L1,02
869,OH,2F,L1,03
870,OH,2F,L1,04
871,OH,2F,L1,05
872,OH,2F,L1,06
873,OH,2F,L1,07
874,OH,2F,L1,08
875,OH,2F,L1,09
876,OH,2F,L1,10
877,OH,2F,L1,11
878,OH,2F,L2,04
879,OH,2F,L2,05
880,OH,2F,L3,03
881,OH,2F,L3,04
882,OH,2F,L3,05
883,OH,2F,L4,03
884,OH,2F,L4,04
885,OH,2F,L4,05
886,OH,2F,L5,02
887,OH,2F,L5,03
888,OH,2F,L5,04
889,OH,2F,L5,05
890,OH,2F,L6,02
891,OH,2F,L6,03
892,OH,2F,L6,04
893,OH,2F,L6,05
894,OH,2F,L7,01
895,OH,2F,L7,02
896,OH,2F,L7,03
897,OH,2F,L7,04
898,OH,2F,L7,05
899,OH,2F,L8,01
900,OH,2F,L8,02
901,OH,2F,L8,03
902,OH,2F,L8,04
903,OH,2F,L8,05
904,OH,2F,L9,01
905,OH,2F,L9,02
906,OH,2F,L9,03
907,OH,2F,L9,04
908,OH,2F,L9,05
909,OH,2F,L10,01
910,OH,2F,L10,02
911,OH,2F,L10,03
912,OH,2F,L10,04
913,OH,2F,L10,05
914,OH,2F,L11,01
915,OH,2F,L11,02
916,OH,2F,L11,03
917,OH,2F,L11,04
918,OH,2F,L11,05
919,OH,2F,L12,01
920,OH,2F,L12,02
921,OH,2F,L12,03
922,OH,2F,L12,04
923,OH,2F,L12,05
924,OH,2F,R1,01
925,OH,2F,R1,02
926,OH,2F,R1,03
927,OH,2F,R1,04
928,OH,2F,R1,05
929,OH,2F,R1,06
930,OH,2F,R1,07
931,OH,2F,R1,08
932,OH,2F,R1,09
933,OH,2F,R1,10
934,OH,2F,R1,11
935,OH,2F,R2,01
936,OH,2F,R2,02
937,OH,2F,R3,01
938,OH,2F,R3,02
939,OH,2F,R3,03
940,OH,2F,R4,01
941,OH,2F,R4,02
942,OH,2F,R4,03
943,OH,2F,R5,01
944,OH,2F,R5,02
945,OH,2F,R5,03
946,OH,2F,R5,04
947,OH,2F,R6,01
948,OH,2F,R6,02
949,OH,2F,R6,03
950,OH,2F,R6,04
951,OH,2F,R7,01
952,OH,2F,R7,02
953,OH,2F,R7,03
